text,true_emotion,predicted_emotion
@danbloom1 beware the fury of a weak king,anger,anger
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,anger
Sting is just too damn earnest for early morning listening. ,anger,anger
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger,anger
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger,joy
@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,anger,anger
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger,anger
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy
i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger,sadness
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,joy
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,sadness
"@TrevorHMoore @paget_old In Scotland, the right-wingers are the most rabid anti-nationalists. Socialists are mostly in favour.",anger,anger
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger,joy
@fluffysoftlouis no no. I insist that you give me your best insult first,anger,joy
Sting is just too damn earnest for early morning listening. #sting,anger,anger
"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,anger,anger
@LiamCannon1 He's just too raging to type properly... Ha ha!,anger,joy
Might just leave and aggravate bae,anger,sadness
"I miss my gran singing Rawhide, in her deep baritone growl.",anger,sadness
Not the best horror ever but I like that the uncertainty,fear,joy
@joey_coops yes Hun! Avoid at all costs!! #nightmare,fear,anger
The moment you bring her to meet your best friend and you're nervous af! 😬😆 #nervous #thefriendtest,fear,fear
I don't want speak front to him   #nopanicattack,fear,fear
Bout ta get my @dontbreathe on up in here! @WarrenTheaters #nervous #icantholdmybreaththatlong,fear,fear
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan ",fear,anger
Staff on @ryainair FR1005. Asked for info and told to look online. You get what you pay for. #Ryanair @STN_Airport #Compensation #awful,fear,anger
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,fear,sadness
"The 2nd step to beating #anxiety or #depression is realising that it's not about waiting for ...., Take action yourself now.",fear,anger
@SAHARTHERAPPER I unfollowed without hesitation &lt;3,fear,joy
When you're scared to press send #bgoodthepoet #PrayForMe #ThisIsAGodDream #career #help #fear #heart #HeartRacing,fear,fear
Hillary Clinton looked the other way to the Saudi war on women and their terror financing because they bought her off.,fear,anger
Northampton are awful 🙈,fear,anger
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points ,fear,anger
"Came in to work today 1.5 hours late.1st thing I hear: 'Ma'am,the big boss has been waiting for you in his office.' #panic #hateBeingLate 😩😪",fear,fear
