text,true_emotion,predicted_emotion
I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger,sadness
If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,anger,anger
@ZubairSabirPTI  pls dont insult the word 'Molna',anger,anger
i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger,sadness
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",anger,joy
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger,anger
@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,anger,sadness
@fluffysoftlouis no no. I insist that you give me your best insult first,anger,anger
@__NETFLIXNCHILL I fuck with madden way harder,anger,joy
Hate when guys cant control their anger 🙃🙃,anger,anger
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger,joy
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman #scowl",anger,anger
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger,anger
@TrussElise Obama must be fuming.. lol,anger,joy
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy
Sting is just too damn earnest for early morning listening. #sting,anger,sadness
Lol little things like that make me so angry x,anger,anger
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger
All Brian does is sleep and aggravate me,anger,anger
"I miss my gran singing Rawhide, in her deep baritone growl.",anger,sadness
Another fun fact: i am afraid,fear,fear
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points ,fear,anger
@lukeshawtime terrible,fear,anger
@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩,fear,sadness
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,fear,anger
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points #shocking,fear,anger
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography #horror,fear,fear
I don't want speak front to him   #nopanicattack,fear,fear
"@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military",fear,anger
Watching It Follows.  This is a super freaky movie.  #scary,fear,fear
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ,fear,joy
My Modern Proverb: 'Don't let anyone intimidate you about being single; most marriages end in divorce.',fear,joy
That's an awful miss from Rooney.,fear,sadness
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius #awful,fear,anger
Having a terrific Tuesday? Crush it today with the Power of 4. Treat your internet like Pizza =D \n#PowerOf4,fear,joy
The moment you bring her to meet your best friend and you're nervous af! 😬😆 #nervous #thefriendtest,fear,fear
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius ,fear,anger
If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,fear,fear
@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},fear,joy
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !!  #longingformore,fear,joy
"If you don't respond to an email within 7 fays, you wifl be killed by an animated gif of the girl from The Ring.",joy,fear
"@Geminiak @LondonNPC you're welcome! #wordgeek \nAlso, good to put a face to the twitter feed, even if it was only a cheery hello! 😀",joy,joy
"Good #CX most often doesn't require all that much. #smile, #care, #relate and be #helpful. Thanks, Lakis Court Hotel in #cyprus",joy,joy
@MichiganBromo Good optimism sir :),joy,joy
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",joy,anger
@Bridget_Jones was joyous. Worried I would be disappointed. Most definitely was not. #chickflick #giggles #comethefuckonbridget,joy,joy
incredible that anthony weiner has been caught chasing a busty milkmaid across a park at double speed while jaunty music plays,joy,joy
"TheNiceBot: IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot #الخفجي",joy,joy
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy
A lifetime of laughter at the expense of the death of a bachelor,joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day. #laughter #challenge #kashmir #baloch,joy,joy
"Imagine how sad LA fans are gona be when they get eliminated...Man that's gonna be Nirvana, a religious experience rejoicing in their misery",joy,joy
Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,joy,joy
@yungdoujin wouldn't that basically be sparkling water,joy,joy
@Bluebelle89 @lsmith855 liking the optimism,joy,joy
@billie21806 @cnnbrk tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us.,joy,fear
Google caffeine-an sprightly lengthening into the corridor re seo: WgJ,joy,joy
Dolores.' A thin lipped smile graced glossed lips as she let blues peer over at the woman. ' A constant delight.. As always.',joy,joy
Tutoring gives me such an exhilarating feeling. I love helping people 😌,joy,joy
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,sadness
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster",sadness,sadness
"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",sadness,sadness
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sadness,sadness
"@Virgin_TrainsEC I feel for the conductor tonight, he's obviously taken grief over the last few weeks, he sounds weary of apologising!",sadness,sadness
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",sadness,joy
Might go on @RadioX tomorrow to hopefully win a new car. My current one stinks of gone off milk. #grim,sadness,sadness
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",sadness,fear
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues,sadness,sadness
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany ,sadness,anger
"@LeePorter94 @DomMcGovern_ hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay #blues",sadness,joy
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness,sadness
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",sadness,sadness
